concept,concept_type,name_short,name,name_catalog,description,tags,unit,domain
ae_cap_food,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Hotell- och restaurangverksamhet (kilogram per capita)),Hotell- och restaurangverksamhet,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_exorg,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Verksamhet som bedrivs av extraterritoriella organisationer och organ (kilogram per capita)),Verksamhet som bedrivs av extraterritoriella organisationer och organ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_house,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Hushållens produktion av varor och tjänster för eget bruk (kilogram per capita)),Hushållens produktion av varor och tjänster för eget bruk,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_admin,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Förvaltnings- och stödtjänster (kilogram per capita)),Förvaltnings- och stödtjänster,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_agri,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Jordbruk: skogsbruk och fiske (kilogram per capita)),Jordbruk: skogsbruk och fiske ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_arts,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Konst och underhållning (kilogram per capita)),Konst och underhållning ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_const,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Byggnation (kilogram per capita)),Byggnation ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_edu,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Utbildning (kilogram per capita)),Utbildning ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_elec,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (El- gas- ång- och luftkonditionering (kilogram per capita)),El- gas- ång- och luftkonditionering ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_finance,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Finans- och försäkringsverksamhet (kilogram per capita)),Finans- och försäkringsverksamhet ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_health,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Hälso- och sjukvård samt socialt arbete (kilogram per capita)),Hälso- och sjukvård samt socialt arbete ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_info,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Information och kommunikation (kilogram per capita)),Information och kommunikation ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
ae_cap_manu,measure,Växthusgasutsläpp per capita,Växthusgasutsläpp per capita (Tillverkningsindustrin (kilogram per capita)),Tillverkningsindustrin ,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,utsl_capita,kilogram per capita,
